param,emotion1,emotion2,emotion3,emotion4,emotion5,emotion6,emotion7,emotion8
increaseKP,5,5,5,5,5,5,5,5
eci,1,1,1,-1,-1,-1,-1,-1
kmi,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
a,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0
h1_in,0.24,0.42,0.26,0.27,0.31,0.22,0.29,0.31
h2_in,0.43,0.49,0.41,0.36,0.46,0.34,0.4,0.47
h3_in,0.69,0.57,0.46,0.58,0.57,0.41,0.65,0.68
h4_in,0.94,0.79,0.68,0.77,0.69,0.44,0.82,0.81
kei,0.1,0.05,0.1,0.05,0.05,0.1,0.1,0.1
beta,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
beta_star,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
h1_ex,0.16,0.14,0.11,0.27,0.33,0.22,0.19,0.31
h2_ex,0.31,0.35,0.17,0.36,0.52,0.34,0.26,0.47
h3_ex,0.49,0.39,0.34,0.58,0.71,0.41,0.41,0.68
h4_ex,0.62,0.51,0.45,0.77,0.95,0.44,0.53,0.81
h1_dft,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
h2_dft,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
h3_dft,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
h4_dft,1,1,1,1,1,1,1,1
